Transaction Type,Amount (KSHS)
Send Money,30690.0
Pochi la Biashara,3590.0
Till Numbers,24228.0
Paybill Numbers,32805.0
M-Shwari Deposit,0.0
Airtime Purchase,400.0
Data Bundles,1516.0
Transaction Cost,502.0
Agent Withdrawal,20300.0
Withdrawal cost,254.0
Card,0.0
TOTAL,114285.0
